Key,AlertCategory,DateOfResponse,TimeOfResponse,DateOfCrime,TimeOfCrime,CrimeCategory,LocationOfCrime,SuspectDescription,SuspectInCustody,Update,Link,MapGroup,coords,latitude,longitude,quarter
1,Community Alert Bulletin,2019-03-18,,,,Campus Threats,UC San Diego campus written on the inside surfaces of three women’s restroom doors.,No,No,,https://adminrecords.ucsd.edu/Notices/2019/2019-3-18-2.html,UC San Diego campus written on the inside surfaces of three women’s restroom doors.,,,,WI2019
2,Community Alert Bulletin,2019-03-19,,,,Campus Threats,UC San Diego campus written on the inside surfaces of three women’s restroom doors.,No,No,1.0,https://adminrecords.ucsd.edu/Notices/2019/2019-3-19-2.html,UC San Diego campus written on the inside surfaces of three women’s restroom doors.,,,,WI2019
3,Community Alert Bulletin,2019-03-20,,,,Campus Threats,UC San Diego campus written on the inside surfaces of three women’s restroom doors.,No,No,1.0,https://adminrecords.ucsd.edu/Notices/2019/2019-3-20-2.html,UC San Diego campus written on the inside surfaces of three women’s restroom doors.,,,,WI2019
4,Community Alert Bulletin,2019-03-21,,,,Campus Threats,UC San Diego campus written on the inside surfaces of three women’s restroom doors.,No,No,1.0,https://adminrecords.ucsd.edu/Notices/2019/2019-3-21-2.html,UC San Diego campus written on the inside surfaces of three women’s restroom doors.,,,,WI2019
5,Timely Warning,2019-05-21,7:40 AM,5/21/2019,07:28 AM,Weapons Law Violation,parking lot outside 3366 North Torrey Pines Court,Yes,No,,https://adminrecords.ucsd.edu/Notices/2019/2019-5-21-1.html,Scripps,"(32.868674622251646, -117.25195757194997)",32.868674622251646,-117.25195757194997,SP2019
6,Timely Warning,2019-07-28,12:03 PM,,,Arson,report of a fire at Argo Hall. The reporting party stated that there was a fire inside lounge room on the fourth floor.,No,No,,https://adminrecords.ucsd.edu/Notices/2019/2019-7-28-1.html,Revelle,"(32.874775437274074, -117.24184346833931)",32.874775437274074,-117.24184346833931,SU2019
7,Timely Warning,2019-08-25,10:03 PM,8/25/2019,10:00 PM,Robbery,robbery that occurred at the 101 bus stop at the corner of North Torrey Pines and La Jolla Shores Drive,Yes,No,,https://adminrecords.ucsd.edu/Notices/2019/2019-8-25-1.html,Revelle,"(32.874775437274074, -117.24184346833931)",32.874775437274074,-117.24184346833931,SU2019
8,Community Alert Bulletin,2019-08-31,4:04 PM,8/31/2019,03:54 PM,Indecent Exposure,"3857 Miramar Street, between Arena and Cresta buildings",Yes,No,,https://adminrecords.ucsd.edu/Notices/2019/2019-8-31-1.html,Mesa Graduate Housing,"(32.87502265717985, -117.22292759641547)",32.87502265717985,-117.22292759641547,SU2019
9,Community Alert Bulletin,2019-09-24,,,,Theft By False Pretenses (Phone Scams),"online, phone calls",No,No,,https://adminrecords.ucsd.edu/Notices/2019/2019-9-24-2.html,Online,,,,SU2019
10,Annual Campus Lighting Review Walks,2019-10-25,,,,Lighting Report,,,,,https://adminrecords.ucsd.edu/Notices/2019/2019-10-25-3.html,,,,,FA2019
11,Community Alert Bulletin,2019-11-06,,11/4/2019,08:00 PM,Sexual Battery,while walking on 8600 La Jolla Scenic Drive North.,Yes,No,,https://adminrecords.ucsd.edu/Notices/2019/2019-11-6-2.html,while walking on 8600 La Jolla Scenic Drive North.,,,,FA2019
12,Timely Warning,2019-11-24,3:00 PM,11/24/2019,07:00 AM,Burglary,Thurgood Marshall College Residence Halls,No,No,,https://adminrecords.ucsd.edu/Notices/2019/2019-11-24-1.html,Marshall,"(32.88322745763785, -117.242352818566)",32.88322745763785,-117.242352818566,FA2019
13,Timely Warning,2020-01-28,12:00 PM,1/20/2020,02:50 AM,Burglary,Applied Mathematics and Physics (AP&M) office,Yes,No,,https://adminrecords.ucsd.edu/Notices/2020/2020-1-30-4.html,Muir,"(32.87897500681861, -117.242233264698)",32.87897500681861,-117.242233264698,WI2020
14,Timely Warning,2020-02-17,9:32 PM,,,Brandishing of a Firearm,near 9266 Regents Road (Mesa Apartments),Yes,No,,https://adminrecords.ucsd.edu/Notices/2020/2020-2-17-1.html,Mesa Graduate Housing,"(32.87502265717985, -117.22292759641547)",32.87502265717985,-117.22292759641547,WI2020
15,Confirmed Cases of COVID-19 at UC San Diego,2020-03-16,,,,Covid,,,,,https://adminrecords.ucsd.edu/Notices/2020/2020-3-16-1.html,,,,,WI2020
16,Confirmed Cases of COVID-19 at UC San Diego,2020-03-23,,,,Covid,,,,,https://adminrecords.ucsd.edu/Notices/2020/2020-3-23-2.html,,,,,WI2020
17,COVID-19 at UC San Diego,2020-03-28,,,,Covid,,,,16.0,https://adminrecords.ucsd.edu/Notices/2020/2020-3-28-1.html,,,,,WI2020
18,Timely Warning,2020-07-05,1:56 AM,,,Arson,"Scripps Institution of Oceanography Old Director's House at 8670 Discovery Way, flames and smoke coming from the southeast corner of the building.",No,No,,https://adminrecords.ucsd.edu/Notices/2020/2020-7-5-1.html,Scripps,"(32.868674622251646, -117.25195757194997)",32.868674622251646,-117.25195757194997,SU2020
19,Timely Warning,2020-09-06,,,,Motor Vehicle Theft,area of parking lot #352,No,No,,https://adminrecords.ucsd.edu/Notices/2020/2020-9-6-1.html,Seventh,"(32.88795824589793, -117.24223949298532)",32.88795824589793,-117.24223949298532,SU2020
