map_group,longitude,latitude,count
Around Campus,,,2.0
Central Campus Trolley Station,-117.23185272044901,32.87830699468673,3.0
ERC,-117.24241102499364,32.8854805949752,5.0
Extended Studies,-117.24353269564939,32.88143858274703,2.0
Gilman Bridge,-117.22885299138183,32.87600005766554,1.0
Hopkins,,,2.0
La Jolla Shores Hotel,-117.25820312016141,32.85492840564671,2.0
Library Walk,-117.23757909557858,32.879165420702776,3.0
Marshall,-117.242352818566,32.88322745763785,5.0
Mesa Graduate Housing,-117.22292759641547,32.87502265717985,15.0
Muir,-117.242233264698,32.87897500681861,2.0
Online,,,3.0
Pepper Canyon,-117.23137621544512,32.87776786028423,2.0
Preuss School,-117.22217818159555,32.8825774603386,1.0
Revelle,-117.24184346833931,32.874775437274074,6.0
Rita Atkinson,-117.23522676877275,32.87274099845561,3.0
Scripps,-117.25195757194997,32.868674622251646,4.0
Seventh,-117.24223949298532,32.88795824589793,3.0
Sixth,-117.24240926283937,32.88039605707939,4.0
Sun God Lawn,-117.23990366231277,32.87845455039474,2.0
The Hillcrest Medical Center,-117.16247161061892,32.75054274681195,6.0
Trition Clubhouse,-117.22604461568349,32.88145393232694,2.0
UC Health Trolley Station,-117.22354628116906,32.881814209320716,2.0
UC San Diego Health System,-117.2261369715337,32.87802740143928,4.0
UC San Diego campus written on the inside surfaces of three women’s restroom doors.,,,4.0
UCSD School of Medicine,-117.2354855752366,32.874277832276334,4.0
Voigt Drive,,,1.0
Warren,-117.23466260598113,32.881253575132405,6.0
while walking on 8600 La Jolla Scenic Drive North.,,,1.0
