Key,Alert Category,Date of Response,Time of Response,Date of Crime,Time of Crime,Crime Category,Location of Crime,Suspect Description,Suspect in Custody,Update,Link
1,Community Alert Bulletin,3/18/2019,,,,Campus Threats,UC San Diego campus written on the inside surfaces of three women’s restroom doors.,No,No,N/A,https://adminrecords.ucsd.edu/Notices/2019/2019-3-18-2.html
2,Community Alert Bulletin,3/19/2019,,,,Campus Threats,UC San Diego campus written on the inside surfaces of three women’s restroom doors.,No,No,1,https://adminrecords.ucsd.edu/Notices/2019/2019-3-19-2.html
3,Community Alert Bulletin,3/20/2019,,,,Campus Threats,UC San Diego campus written on the inside surfaces of three women’s restroom doors.,No,No,1,https://adminrecords.ucsd.edu/Notices/2019/2019-3-20-2.html
4,Community Alert Bulletin,3/21/2019,,,,Campus Threats,UC San Diego campus written on the inside surfaces of three women’s restroom doors.,No,No,1,https://adminrecords.ucsd.edu/Notices/2019/2019-3-21-2.html
5,Timely Warning,5/21/2019,7:40 AM,5/21/2019,7:28 AM,Weapons Law Violation,parking lot outside 3366 North Torrey Pines Court,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2019/2019-5-21-1.html
6,Timely Warning,7/28/2019,12:03 PM,,,Arson,report of a fire at Argo Hall. The reporting party stated that there was a fire inside lounge room on the fourth floor.,No,No,N/A,https://adminrecords.ucsd.edu/Notices/2019/2019-7-28-1.html
7,Timely Warning,8/25/2019,10:03 PM,8/25/2019,10:00 PM,Robbery,robbery that occurred at the 101 bus stop at the corner of North Torrey Pines and La Jolla Shores Drive,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2019/2019-8-25-1.html
8,Community Alert Bulletin,8/31/2019,4:04 PM,8/31/2019,3:54 PM,Indecent Exposure,"3857 Miramar Street, between Arena and Cresta buildings",Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2019/2019-8-31-1.html
9,Community Alert Bulletin,9/24/2019,,,,Theft By False Pretenses (Phone Scams),"online, phone calls",No,No,N/A,https://adminrecords.ucsd.edu/Notices/2019/2019-9-24-2.html
10,Annual Campus Lighting Review Walks,10/25/2019,,,,Lighting Report,,,,N/A,https://adminrecords.ucsd.edu/Notices/2019/2019-10-25-3.html
11,Community Alert Bulletin,11/6/2019,,11/4/2019,8:00 PM,Sexual Battery,while walking on 8600 La Jolla Scenic Drive North.,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2019/2019-11-6-2.html
12,Timely Warning,11/24/2019,3:00 PM,11/24/2019,7:00 AM,Burglary,Thurgood Marshall College Residence Halls,No,No,N/A,https://adminrecords.ucsd.edu/Notices/2019/2019-11-24-1.html
13,Timely Warning,1/28/2020,12:00 PM,1/20/2020,2:50 AM,Burglary,Applied Mathematics and Physics (AP&M) office,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2020/2020-1-30-4.html
14,Timely Warning,2/17/2020,9:32 PM,,,Brandishing of a Firearm,near 9266 Regents Road (Mesa Apartments),Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2020/2020-2-17-1.html
15,Confirmed Cases of COVID-19 at UC San Diego,3/16/2020,,,,Covid,,,,,https://adminrecords.ucsd.edu/Notices/2020/2020-3-16-1.html
16,Confirmed Cases of COVID-19 at UC San Diego,3/23/2020,,,,Covid,,,,,https://adminrecords.ucsd.edu/Notices/2020/2020-3-23-2.html
17,COVID-19 at UC San Diego,3/28/2020,,,,Covid,,,,16,https://adminrecords.ucsd.edu/Notices/2020/2020-3-28-1.html
18,Timely Warning,07/05/2020,1:56 AM,,,Arson,"Scripps Institution of Oceanography Old Director's House at 8670 Discovery Way, flames and smoke coming from the southeast corner of the building.",No,No,N/A,https://adminrecords.ucsd.edu/Notices/2020/2020-7-5-1.html
19,Timely Warning,9/6/2020,,,,Motor Vehicle Theft,area of parking lot #352,No,No,N/A,https://adminrecords.ucsd.edu/Notices/2020/2020-9-6-1.html
20,Community Alert Bulletin,9/21/2020,,,,Theft by False Pretenses (Phone Scams),"online, phone calls",No,No,N/A,https://adminrecords.ucsd.edu/Notices/2020/2020-9-21-1.html
21,Timely Warning,10/15/2020,4:20 AM,10/15/2020,4:20 AM,Robbery,Gilman Bridge,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2020/2020-10-15-4.html
22,Timely Warning,11/2/2020,1:25 AM,11/2/2020,1:25 AM,Aggrevated Assault,9000 Villa La Jolla Drive,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2020/2020-11-2-7.html
23,Timely Warning,11/10/2020,10:30 PM,11/10/2020,10:30 PM,Burglary,Rita Atkinson Residences,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2020/2020-11-11-1.html
24,Timely Warning,12/12/2020,10:00 PM,12/12/2020,9:50 PM,Aggrevated Assault,Sun God Lawn,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2020/2020-12-13-2.html
25,Community Alert Bulletin,12/18/2020,11:00 AM,,,Theft by False Pretenses (Phone Scam),,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2020/2020-12-18-5.html
26,Timely Warning,1/14/2021,6:15 AM,1/13/2021,10:15 PM,Burglary,Mesa Apartments,No,No,N/A,https://adminrecords.ucsd.edu/Notices/2021/2021-1-14-2.html
27,Timely Warning,1/30/2021,,,,Aggrevated Assault,,Yes,Yes,24,https://adminrecords.ucsd.edu/Notices/2021/2021-2-1-2.html
28,Community Alert Bulletin,2/4/2021,2:45 AM,,,Catalytic Converter Theft,Hopkins Parking Structure,Yes,Yes,N/A,https://adminrecords.ucsd.edu/Notices/2021/2021-2-4-4.html
29,Timely Warning,8/28/2021,5:10 PM,8/28/2021,4:18 PM,Aggrevated Assault,Voigt Drive and Hopkins Drive,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2021/2021-8-28-1.html
30,Timely Warning,10/6/2021,4:00 PM,,,Aggrevated Assault,Campus Point Parking Structure,Yes,No,N/A,https://adminrecords.ucsd.edu/Notices/2021/2021-10-6-4.html
